season,metric,metric_label,messi_value,peer_mean,peer_std,z_score,peer_median,robust_z,percentile,rank,cohort_size,min_minutes,cohort
2014/15,key_passes90,Key passes / 90,2.534084,1.186653,0.585476,2.301428,1.071802,2.633855,98.039216,3,102,600,forwards
2014/15,npg90,Non-penalty goals / 90,1.013634,0.267888,0.21594,3.453478,0.231214,4.341967,99.019608,2,102,600,forwards
2014/15,npg_minus_npxg90,Non-penalty goals above xG / 90,0.175196,-0.013914,0.100278,1.885854,-0.017584,2.234618,96.078431,5,102,600,forwards
2014/15,npxg90,Non-penalty xG / 90,0.838438,0.281802,0.178284,3.122184,0.245503,3.92281,99.019608,2,102,600,forwards
2014/15,shots90,Shots / 90,4.988145,2.216806,0.894566,3.097971,2.176066,3.424148,99.019608,2,102,600,forwards
2014/15,xa90,Expected assists / 90,0.469791,0.151862,0.112906,2.815876,0.117612,4.62704,99.019608,2,102,600,forwards
2014/15,xgbuildup90,xGBuildup / 90,0.527002,0.148683,0.129886,2.912713,0.114673,5.650326,98.039216,3,102,600,forwards
2014/15,xgchain90,xGChain / 90,1.460529,0.48158,0.274295,3.568963,0.389452,6.016067,100.0,1,102,600,forwards
2015/16,key_passes90,Key passes / 90,2.542186,1.333803,0.588877,2.052014,1.168142,2.65578,95.412844,6,109,600,forwards
2015/16,npg90,Non-penalty goals / 90,0.759354,0.289941,0.230506,2.03645,0.24,2.450245,95.412844,6,109,600,forwards
2015/16,npg_minus_npxg90,Non-penalty goals above xG / 90,0.036338,-0.010859,0.115865,0.407347,-0.013079,0.452476,70.642202,33,109,600,forwards
2015/16,npxg90,Non-penalty xG / 90,0.723016,0.3008,0.190394,2.21759,0.262613,2.82207,96.330275,5,109,600,forwards
2015/16,shots90,Shots / 90,5.216434,2.249776,0.935848,3.170023,2.248062,3.273078,99.082569,2,109,600,forwards
2015/16,xa90,Expected assists / 90,0.523997,0.178002,0.101768,3.399842,0.166041,3.699261,99.082569,2,109,600,forwards
2015/16,xgbuildup90,xGBuildup / 90,0.501714,0.184861,0.136161,2.327049,0.14858,4.440827,95.412844,6,109,600,forwards
2015/16,xgchain90,xGChain / 90,1.386544,0.550031,0.256435,3.262079,0.504815,4.808447,99.082569,2,109,600,forwards
2016/17,key_passes90,Key passes / 90,2.510593,1.276993,0.601207,2.051874,1.152615,2.657959,94.957983,7,119,600,forwards
2016/17,npg90,Non-penalty goals / 90,0.985169,0.28145,0.193648,3.634012,0.243997,4.413157,99.159664,2,119,600,forwards
2016/17,npg_minus_npxg90,Non-penalty goals above xG / 90,0.296116,0.030726,0.112479,2.359461,0.017335,2.649881,97.478992,4,119,600,forwards
2016/17,npxg90,Non-penalty xG / 90,0.689054,0.250723,0.150156,2.91916,0.2237,3.475173,99.159664,2,119,600,forwards
2016/17,shots90,Shots / 90,5.688559,2.226358,0.921866,3.755644,2.133891,4.254858,99.159664,2,119,600,forwards
2016/17,xa90,Expected assists / 90,0.443489,0.136983,0.090175,3.399016,0.116462,4.509618,99.159664,2,119,600,forwards
2016/17,xgbuildup90,xGBuildup / 90,0.576277,0.170359,0.136823,2.966739,0.134027,5.346006,97.478992,4,119,600,forwards
